id,target
2,0.009758717393232263
5,0.013739828293064166
6,0.0045962776366783595
7,0.026379399743273867
9,0.002352378585037949
11,0.11925193425875293
12,0.00012328285124749695
15,0.048487242448476575
16,0.039258861390743194
17,0.016746864119757357
19,0.004665169496837031
21,0.002262555150226162
22,0.006472969956064322
24,0.005336254183386292
27,0.0025646172945639196
28,0.016016526758289764
30,0.01872173142710082
33,0.002303207532678551
35,0.005991933298006477
37,0.029289734586390653
38,0.006616935408983227
40,0.112596543717222
41,0.015250172798456862
44,0.0015896828231820013
46,0.026718182181571216
47,0.0030909239958358454
48,0.002522131541642002
50,0.002377616190437469
52,0.08865612357414114
53,0.012543592361871116
55,0.03122504898411922
57,0.002183758668147443
58,0.0041878149920108465
59,0.014232705073617478
62,0.007190753547285558
63,0.005316831720873841
64,0.006639915486354852
65,0.007423679940449985
67,0.005734737181171306
69,0.015758599659515787
70,0.0022865129274518693
71,0.0016365985324155725
72,0.0036090788061734253
73,0.0013791441162852563
76,0.0021364294522511654
78,0.0025167043500894867
79,0.013335154417692157
81,0.0020691984068606437
85,0.0052708109774354545
86,0.0023047415499565637
89,0.008159608423644866
94,0.04251773147706478
96,0.001873155414946115
97,0.0033775898538601157
98,0.002403440453261047
99,0.029234710658693326
100,0.1826636664959916
103,0.06401916951731501
104,0.0026789969217013137
108,0.006341139312066072
110,0.002387708173028988
112,0.02080498397649117
114,0.0152335961681476
116,0.026142251731252297
117,0.005166336050475002
119,0.009708822553544839
120,0.0006527950816314439
121,0.0036606565941051557
123,0.02034003658674488
124,0.0064468055346724555
126,0.0021339137515758236
128,0.005203090510036407
129,0.028432557869476786
133,0.01862236550969342
138,0.005828736921797996
147,0.015653803611720318
149,0.029338745713309997
158,0.002521221771356956
160,0.0047532591132839995
164,0.01737608449146672
167,0.025246466794973138
168,0.0633552659867965
174,0.004800806403231146
181,0.0064301481825031264
185,0.008113981491566847
187,0.003167929762220565
189,0.0024489212348423293
190,0.011705771788003876
194,0.0034392756672739972
197,0.026723366017280762
198,0.030633238165396287
201,0.019207490445782932
205,0.002181539669509023
208,0.012562069942892952
211,0.005678641250462916
216,0.02880159076137082
219,0.056209755703132296
